Medical_Term,Frequency
bilirubin,102
development,102
substance,102
bimanual,102
balance,102
term,102
dilation,102
beneath,102
fiberoptic,102
band,102
gauge,102
dye,102
resistance,102
pacing,102
glands,101
regions,101
aphasia,101
albumin,101
meals,101
prostatic,101
weak,101
specifically,101
rehabilitation,101
scarring,101
ruptured,100
protect,100
bedtime,100
mostly,100
sacral,100
apical,100
beyond,100
gestational,100
cosmetic,100
hiv,100
cleansed,100
bifurcation,100
neurology,100
request,99
exchanged,99
undyed,99
cardiology,99
personal,99
media,99
lifting,99
drop,99
saturations,99
receiving,99
jaw,99
amplitude,99
cords,99
pedal,99
doppler,99
suggested,99
april,99
orthopnea,99
complication,98
developmental,98
rub,98
incident,98
digitorum,98
migraine,98
healed,98
pursestring,98
power,98
bulb,98
rheumatoid,98
wrapped,98
involvement,98
enhancement,98
visible,98
romberg,98
alone,98
labrum,98
dilatation,98
paraspinal,98
compatible,98
planning,98
remains,98
mesh,98
seven,98
cardioplegia,97
weighted,97
subacromial,97
pains,97
stiffness,97
osseous,97
eventually,97
talked,97
maneuver,97
suggesting,97
ventral,97
redness,97
okay,97
retired,97
unfortunately,97
evident,97
ends,97
ent,97
healing,97
nodule,97
lipitor,97
mammary,97
meal,97
hemoptysis,97
deviation,97
duration,96
reduce,96
march,96
distance,96
ligation,96
shift,96
annular,96
complicated,96
closely,96
spoke,96
attempts,96
nourished,96
lips,96
flush,96
urethral,96
dense,96
clipped,96
looked,96
presenting,96
experiencing,96
effort,95
cpt,95
code,95
damage,95
complain,95
reached,95
sudden,95
xeroform,95
allergy,95
needles,95
terminal,95
borderline,95
ongoing,95
scleral,95
diminished,95
notable,95
anticoagulation,95
additionally,94
humeral,94
causes,94
orientation,94
seated,94
calories,94
webril,94
always,94
cephalad,94
grafts,94
nicely,94
looks,94
melena,94
depressed,94
critical,93
generally,93
sputum,93
factor,93
localized,93
clot,93
remarkable,93
deltoid,93
referral,93
screen,93
smokes,93
situation,93
particular,93
overnight,93
sedated,93
levaquin,93
firm,93
circumferential,93
mediastinal,93
grams,93
exsanguinated,92
cornea,92
impingement,92
cast,92
antegrade,92
